,index,variable,value
361,China - Zhejiang,1/29/20,3
362,China - Hunan,1/29/20,0
363,China - Anhui,1/29/20,2
364,China - Jiangxi,1/29/20,3
365,Belgium,1/29/20,0
366,China - Shandong,1/29/20,1
367,China - Jiangsu,1/29/20,1
368,Canada,1/29/20,0
369,Austria,1/29/20,0
370,China - Chongqing,1/29/20,1
371,China - Sichuan,1/29/20,1
372,China - Heilongjiang,1/29/20,0
373,China - Beijing,1/29/20,4
374,China - Shanghai,1/29/20,5
375,China - Hebei,1/29/20,0
376,Diamond Princess,1/29/20,0
377,China - Fujian,1/29/20,0
378,Malaysia,1/29/20,0
379,Denmark,1/29/20,0
380,China - Shaanxi,1/29/20,0
381,China - Guangxi,1/29/20,2
382,Japan,1/29/20,1
383,Turkey,1/29/20,0
384,Peru,1/29/20,0
385,Thailand,1/29/20,5
386,China - Yunnan,1/29/20,0
387,China - Hainan,1/29/20,0
388,Singapore,1/29/20,0
389,Bahrain,1/29/20,0
390,China - Guizhou,1/29/20,1
391,Chile,1/29/20,0
392,China - Shanxi,1/29/20,1
393,Australia - Victoria,1/29/20,0
394,China - Tianjin,1/29/20,0
395,Israel,1/29/20,0
396,China - Liaoning,1/29/20,1
397,China - Gansu,1/29/20,0
398,Romania,1/29/20,0
399,Iceland,1/29/20,0
400,China - Hubei,1/30/20,90
401,Spain,1/30/20,0
402,Iran,1/30/20,0
403,Germany,1/30/20,0
404,Italy,1/30/20,0
405,France,1/30/20,0
406,US,1/30/20,0
407,"Korea, South",1/30/20,0
408,Switzerland,1/30/20,0
409,China - Guangdong,1/30/20,10
410,China - Henan,1/30/20,2
411,China - Zhejiang,1/30/20,4
412,China - Hunan,1/30/20,2
413,China - Anhui,1/30/20,2
414,China - Jiangxi,1/30/20,5
415,Belgium,1/30/20,0
416,China - Shandong,1/30/20,1
417,China - Jiangsu,1/30/20,1
418,Canada,1/30/20,0
419,Austria,1/30/20,0
420,China - Chongqing,1/30/20,1
421,China - Sichuan,1/30/20,1
422,China - Heilongjiang,1/30/20,0
423,China - Beijing,1/30/20,4
